,Filename,Mean_Street_Quality,Distance,Speed,Relevant
956,Ecosense/bikeride-gps-b07db838b788638358efa78d0f83baa2319f5867.csv,15.0,2061.0,6.0,True
987,Ecosense/bikeride-gps-f511365603fcd2ecd297b64b1237a3966a1c13b0.csv,15.0,1433.0,6.0,True
134,Ecosense/bikeride-gps-5417a97af4570dd29bf4a1cf6cc541d30dcad827.csv,15.0,2198.0,5.0,True
139,Ecosense/bikeride-gps-90cd45044467355d517d27bd55ee9108cd467042.csv,15.0,2731.0,5.0,True
549,Ecosense/bikeride-gps-27f49831f978ead7abf4ff2c2a10569bc3e314c8.csv,15.0,3430.0,5.0,True
639,Ecosense/bikeride-gps-41f72520cd47c332200e535b9379a40f567866fa.csv,15.0,3453.0,5.0,True
883,Ecosense/bikeride-gps-ddf744c28186cba76214c06f0ff428e99f129723.csv,15.0,3442.0,5.0,True
180,Ecosense/bikeride-gps-87ab4cdbf501703b374edcf19a515761d30dad49.csv,15.0,3433.0,4.0,True
199,Ecosense/bikeride-gps-8550b8e26c4dbd8426c018e7b508ef63514d80ff.csv,15.0,3653.0,4.0,True
548,Ecosense/bikeride-gps-27daebd4ceca9a1af69f2b2b565b111e33537aaa.csv,15.0,1958.0,4.0,True
691,Ecosense/bikeride-gps-54b98373650543356e27dc9588b010444cb7cd01.csv,15.0,3088.0,4.0,True
844,Ecosense/bikeride-gps-9dbd8377cd3b644662d9dbb9e2690822e43c42e2.csv,15.0,3615.0,4.0,True
912,Ecosense/bikeride-gps-b12a22ac4e9b9e758fcf72e8f51f505039f8d47c.csv,15.0,3060.0,4.0,True
1021,Ecosense/bikeride-gps-ed519bf18ed8b48e7975693411a75df1ee4a6f73.csv,15.0,1122.0,4.0,True
1028,Ecosense/bikeride-gps-eaeb8022c292bdd3ae3f131b9c0dccbe6a817827.csv,15.0,3796.0,4.0,True
1034,Ecosense/bikeride-gps-c62d68fbf7bd0ca1905d33c710c0aeb321b4a6b7.csv,15.0,1139.0,4.0,True
1218,Ecosense/bikeride-gps-b3d6da1d3c5398501a1f03c51253a237c69e3090.csv,15.0,2586.0,4.0,True
241,Ecosense/bikeride-gps-61261658a28fbba2e3d23a36bd89957321607d13.csv,15.0,857.0,3.0,True
584,Ecosense/bikeride-gps-2fd339ef6d5b0f3f5b595e0b26a56d16ab8ddea4.csv,15.0,2578.0,3.0,True
797,Ecosense/bikeride-gps-7e25099a92c7b8cb30ebb0f8be64e8437d0562e1.csv,15.0,4316.0,2.0,True
306,Ecosense/bikeride-gps-85c05550efc026b1278b07e90f0a779c4f91b124.csv,16.0,4351.0,5.0,True
330,Ecosense/bikeride-gps-386739aca6e69820a9e2702fccf1e08aabaa8531.csv,16.0,3710.0,5.0,True
1131,Ecosense/bikeride-gps-ce61e3ecb3472cd5ff8e1a3248849c7870167e71.csv,16.0,3569.0,5.0,True
46,Ecosense/bikeride-gps-114d6643b92af714182414ebab2067c362a4e6ed.csv,16.0,3436.0,4.0,True
157,Ecosense/bikeride-gps-80d3914e6f3c695882dfa17f32fb2efc39c9ea20.csv,16.0,1715.0,4.0,True
280,Ecosense/bikeride-gps-85adcc8004024db51b49eaa5f19bae8b0b58dbae.csv,16.0,6006.0,4.0,True
496,Ecosense/bikeride-gps-12f5548c77a7a1caa124f64163bae5ebdc06bace.csv,16.0,1725.0,4.0,True
688,Ecosense/bikeride-gps-53cd4f4b1b5fdcc251ec60a94da59e666ca033e7.csv,16.0,3818.0,4.0,True
993,Ecosense/bikeride-gps-c99543021041d24f35e5b6e2e3c7baeb05fcb2d2.csv,16.0,15749.0,4.0,True
995,Ecosense/bikeride-gps-cbd1e2ee42a7a6eb8f0e2975cbc5b0f56a89c13d.csv,16.0,7040.0,4.0,True
1148,Ecosense/bikeride-gps-efcd49a5271bfeaf25fb713b4e7c2027e69e3141.csv,16.0,2169.0,4.0,True
1160,Ecosense/bikeride-gps-b3d10e117d22a8f30cada7e8a25443041c2612dc.csv,16.0,918.0,4.0,True
792,Ecosense/bikeride-gps-7d2f9e25f874881e520d90fffe4e83e45e6ad02a.csv,17.0,5234.0,7.0,True
1070,Ecosense/bikeride-gps-d30e200c9d3a63026a5b433be691d122e64b2b14.csv,17.0,3779.0,6.0,True
386,Ecosense/bikeride-gps-a442678dfe3ce2ea72b02b9656213a1f32f82f10.csv,17.0,4354.0,5.0,True
757,Ecosense/bikeride-gps-6cafbfcfa895cbde2ac9a2b42350c55d4eeac711.csv,17.0,3429.0,5.0,True
1261,Ecosense/bikeride-gps-b10cd08bcef4ab86bab2b803739f707b5c43ca66.csv,17.0,2583.0,5.0,True
